Recording date:	2016/05/14
Recording time:	18:03:32
Recording resolution	1280 x 1024

pygaze initiation report start
display resolution: 1280x1024
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 60 Hz
sampletime: 16.6490238871 ms
accuracy (in pixels): LX=638.8804, LY=510.7184, RX=638.9136, RY=510.7288
precision (RMS noise in pixels): X=6.16441400297, Y=9.64365076099
distance between participant and display: 57.0 cm
fixation threshold: 56.4618303415 pixels
speed threshold: 1.31714187105 pixels/ms
accuracy threshold: 360.822512123 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	LeftPupil	ValidityLeft	GazePointXRight	GazePointYRight	RightPupil	ValidityRight	GazePointX	GazePointY	Event
1067.0	89.3564	184.9268	3.7249	0	37.0939	150.5302	3.3540	0	0.0988	0.3276	
1083.8	83.0236	181.0385	3.7196	0	26.9286	127.1214	3.3488	0	0.0859	0.3009	
1100.4	79.4750	187.6741	3.7238	0	25.8990	132.7303	3.3159	0	0.0823	0.3129	
1117.0	87.1240	187.7891	3.7289	0	29.2600	134.7835	3.3503	0	0.0909	0.3150	
1133.7	85.6944	184.7402	3.7336	0	47.6956	159.2035	3.3163	0	0.1042	0.3359	
1150.3	80.1849	191.0196	3.7211	0	30.5678	133.5161	3.3420	0	0.0865	0.3169	
1167.0	80.6059	175.6482	3.7307	0	17.2079	136.5524	3.3290	0	0.0764	0.3049	
1183.7	79.0819	181.1992	3.7267	0	28.7007	138.0387	3.3385	0	0.0842	0.3118	
1200.3	84.3465	186.8487	3.7309	0	33.6740	129.1573	3.3784	0	0.0922	0.3086	
1216.9	76.4274	179.9300	3.7461	0	40.4060	163.2095	3.3579	0	0.0913	0.3351	
1233.7	79.9029	176.3140	3.7444	0	35.3235	127.5509	3.3407	0	0.0900	0.2967	
1250.3	78.5426	188.2438	3.7390	0	24.2935	125.7672	3.3612	0	0.0803	0.3067	
1266.9	74.2674	171.0990	3.7612	0	30.1430	133.5896	3.3785	0	0.0816	0.2975	
1283.5	78.5147	182.1445	3.7419	0	32.0782	123.8051	3.3517	0	0.0864	0.2988	
1300.2	81.1113	186.0036	3.7648	0	59.1989	124.3336	3.4040	0	0.1096	0.3031	
1316.9	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1333.5	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1350.2	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1366.8	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1383.5	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1400.2	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1416.8	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1433.5	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1450.1	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1466.8	87.5144	252.5543	3.7447	0	45.6204	148.9590	3.4023	0	0.1040	0.3921	
1483.4	94.2564	208.9764	3.8094	0	58.3829	128.0185	3.4439	0	0.1192	0.3291	
1500.0	70.1127	178.7907	3.8463	0	41.2135	149.8274	3.4333	0	0.0870	0.3209	
1516.7	72.5690	182.3233	3.8370	0	44.8446	156.0876	3.4295	0	0.0917	0.3305	
1533.4	67.5843	179.7153	3.8111	0	54.5108	175.8253	3.4509	0	0.0954	0.3472	
1550.0	64.2406	177.7860	3.8287	0	49.3475	154.6000	3.4252	0	0.0887	0.3246	
1566.7	66.6899	173.8921	3.8280	0	47.3744	140.9058	3.4394	0	0.0891	0.3074	
1583.3	76.8498	181.1650	3.8262	0	40.9914	138.4867	3.4446	0	0.0921	0.3122	
1600.0	73.3781	184.5207	3.8410	0	53.1468	136.9867	3.4575	0	0.0988	0.3140	
1616.7	73.5507	175.1443	3.8414	0	45.9234	152.7556	3.4314	0	0.0933	0.3202	
1633.3	79.0398	181.4884	3.8254	0	45.6392	132.0866	3.4627	0	0.0974	0.3062	
1649.9	81.1261	183.1015	3.8299	0	47.4700	171.5383	3.4763	0	0.1005	0.3463	
1666.5	77.7581	184.9850	3.8399	0	40.1213	144.8327	3.4751	0	0.0921	0.3221	
1683.3	76.2147	188.6622	3.8297	0	40.7321	140.4712	3.4505	0	0.0914	0.3214	
1699.9	73.7607	184.1501	3.8208	0	38.9231	175.0185	3.4802	0	0.0880	0.3508	
1716.5	78.5092	192.0173	3.8523	0	35.4863	139.9207	3.4801	0	0.0891	0.3242	
1733.2	74.0186	190.3404	3.8303	0	47.9379	140.2018	3.4756	0	0.0953	0.3228	
1749.9	69.4865	187.0863	3.8434	0	55.8095	168.3976	3.4983	0	0.0979	0.3472	
1766.5	71.3411	189.1990	3.8439	0	40.1260	129.0343	3.5002	0	0.0871	0.3108	
1783.2	70.6709	182.3548	3.8533	0	36.1171	135.0943	3.4891	0	0.0834	0.3100	
1799.8	68.8120	189.3875	3.8458	0	31.8858	131.0487	3.4964	0	0.0787	0.3129	
1816.5	70.7235	181.7147	3.8429	0	40.3959	133.4128	3.4873	0	0.0868	0.3077	
1833.2	64.7211	180.2698	3.8391	0	55.2682	159.7020	3.4832	0	0.0937	0.3320	
1849.8	67.3664	189.7688	3.7983	0	37.0324	140.9098	3.4702	0	0.0816	0.3229	
1866.4	68.6492	177.1666	3.8163	0	30.1849	139.9349	3.4569	0	0.0772	0.3097	
1883.0	72.9268	180.1137	3.7929	0	37.2639	141.9371	3.4270	0	0.0861	0.3145	
1899.8	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
1916.4	75.9308	180.8836	3.7545	0	54.3947	175.2873	3.3752	0	0.1018	0.3478	
1933.0	86.2357	187.6546	3.7547	0	35.8641	136.2915	3.3998	0	0.0954	0.3164	
1949.7	84.4986	189.7738	3.7250	0	36.8221	125.3004	3.3699	0	0.0948	0.3077	
1966.4	76.7220	177.9872	3.7157	0	37.7944	124.9888	3.3764	0	0.0895	0.2959	
1983.0	74.4062	176.2300	3.7144	0	50.0042	170.9396	3.3708	0	0.0972	0.3390	
1999.7	73.5490	184.2898	3.6695	0	34.8648	127.3358	3.3426	0	0.0847	0.3043	
2016.3	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2032.9	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2049.7	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2066.3	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2082.9	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2099.6	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2116.3	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2132.9	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2149.6	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2166.3	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2182.9	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2199.5	82.5283	183.6291	3.5692	0	46.3776	152.1916	3.2441	0	0.1007	0.3279	
2216.2	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
2232.8	82.8903	188.5940	3.5776	0	50.4245	164.7140	3.2213	0	0.1042	0.3450	
2249.4	82.8835	193.9817	3.6016	0	40.8389	151.9740	3.2406	0	0.0967	0.3378	
2266.2	87.6585	187.4580	3.5840	0	43.5234	142.6934	3.2039	0	0.1025	0.3224	
2282.8	91.3074	185.4531	3.6032	0	36.5262	142.3932	3.2154	0	0.0999	0.3202	
2299.4	87.9449	186.3640	3.5549	0	49.0958	145.9549	3.2403	0	0.1071	0.3245	
2316.1	92.8149	185.5487	3.5976	0	43.3721	144.8984	3.2210	0	0.1064	0.3227	
2332.8	94.8062	185.7935	3.6092	0	44.4942	145.5007	3.2204	0	0.1088	0.3235	
2349.4	88.9964	186.5035	3.5865	0	51.1925	151.1071	3.2336	0	0.1095	0.3297	
2366.1	89.3207	191.2820	3.5985	0	52.0431	136.8639	3.2256	0	0.1104	0.3205	
2382.7	90.5606	195.0053	3.5901	0	65.7671	157.7600	3.2623	0	0.1221	0.3445	
